marge|age|34|1989-12-17
marge|salary|0|1989-12-17
marge|gender|f|1989-12-17
homer|age|38|1989-12-17
homer|salary|65000|1989-12-17
homer|salary|66000|1990-01-01
homer|salary|70000|1994-01-01
homer|salary|81000|1999-01-01
homer|salary|90100|2010-01-01
homer|gender|m|1989-12-17
bart|age|10|1989-12-17
bart|gender|m|1989-12-17
lisa|age|8|1989-12-17
lisa|gender|f|1989-12-17
lisa|gender|m|1989-12-18
lisa|gender|m|1989-12-19
maggie|age|2|1989-12-17
maggie|gender|f|1989-12-17
homer|injury|{"location":"head","severity":2}"|1989-12-17
homer|injury|{"location":"head","severity":1}"|1990-01-01
homer|injury|{"location":"arm","severity":4}"|1994-01-01
homer|injury|{"location":"torso","severity":3}"|1999-01-01
homer|injury|{"location":"torso","severity":1,"admitted":"2010-01-02"}"|2010-01-01
